experiment,query,sf,n_requested,n_actual,combo,flags,fetch_median,fetch_std,logic_median,logic_std,total_median,total_std,total_cv,n_repeats,sql_baseline_median,speedup,valid
sf_scaling,Q9,1.0,32,32,CG,"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",0.0,0.0,3.09738,0.09728,3.09738,0.09728,0.0314,5,3.09738,1.0,True
sf_scaling,Q9,2.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",1.89542,0.02605,0.01615,0.00794,1.91157,0.03019,0.0158,5,3.24989,1.7001,True
sf_scaling,Q9,2.0,32,32,CG,"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",0.0,0.0,3.24989,0.11434,3.24989,0.11434,0.0352,5,3.24989,1.0,True
sf_scaling,Q9,4.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",3.7348,0.16235,0.01451,0.00066,3.74924,0.16264,0.0434,5,5.38948,1.4375,True
sf_scaling,Q9,4.0,32,32,CG,"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",0.0,0.0,5.38948,0.10272,5.38948,0.10272,0.0191,5,5.38948,1.0,True
sf_scaling,Q9,8.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",7.78331,0.26816,0.01866,0.00932,7.80197,0.26286,0.0337,5,12.08024,1.5484,True
sf_scaling,Q9,8.0,32,32,CG,"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",0.0,0.0,12.08024,0.2649,12.08024,0.2649,0.0219,5,12.08024,1.0,True
sf_scaling,Q9,16.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",16.25936,0.50379,0.02113,0.00445,16.27505,0.50193,0.0308,5,24.65023,1.5146,True
sf_scaling,Q9,16.0,32,32,CG,"opt_precompute=on,opt_encode_nation=on,opt_encode_color=on,opt_presort=on,opt_cumsum=on",0.0,0.0,24.65023,0.40679,24.65023,0.40679,0.0165,5,24.65023,1.0,True
sf_scaling,Q10,1.0,32,48,RA,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.79754,0.1014,0.71126,0.07209,1.61349,0.11377,0.0705,5,2.98838,1.8521,True
sf_scaling,Q10,1.0,32,48,RDAG,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.0,0.0,2.98838,0.09185,2.98838,0.09185,0.0307,5,2.98838,1.0,True
sf_scaling,Q10,2.0,32,48,RA,"opt_precompute=on,opt_presort=on,opt_encode_return=on",1.57871,0.11746,1.66801,0.08451,3.26282,0.05875,0.018,5,4.17877,1.2807,True
sf_scaling,Q10,2.0,32,48,RDAG,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.0,0.0,4.17877,0.07495,4.17877,0.07495,0.0179,5,4.17877,1.0,True
sf_scaling,Q10,4.0,32,48,RA,"opt_precompute=on,opt_presort=on,opt_encode_return=on",3.2213,0.2937,3.41014,0.27537,6.67548,0.25729,0.0385,5,6.82903,1.023,True
sf_scaling,Q10,4.0,32,48,RDAG,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.0,0.0,6.82903,0.10407,6.82903,0.10407,0.0152,5,6.82903,1.0,True
sf_scaling,Q10,8.0,32,48,RA,"opt_precompute=on,opt_presort=on,opt_encode_return=on",6.34969,0.43026,6.27649,0.47263,12.82446,0.41973,0.0327,5,11.11046,0.8663,True
sf_scaling,Q10,8.0,32,48,RDAG,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.0,0.0,11.11046,0.14953,11.11046,0.14953,0.0135,5,11.11046,1.0,True
sf_scaling,Q10,16.0,32,48,RA,"opt_precompute=on,opt_presort=on,opt_encode_return=on",13.61714,0.54664,15.16395,0.81475,28.91549,1.01028,0.0349,5,18.65837,0.6453,True
sf_scaling,Q10,16.0,32,48,RDAG,"opt_precompute=on,opt_presort=on,opt_encode_return=on",0.0,0.0,18.65837,0.15596,18.65837,0.15596,0.0084,5,18.65837,1.0,True
sf_scaling,Q11,1.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.08779,0.01019,0.01698,0.00151,0.10422,0.00891,0.0855,5,0.48674,4.6702,True
sf_scaling,Q11,1.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.48674,0.03389,0.48674,0.03389,0.0696,5,0.48674,1.0,True
sf_scaling,Q11,2.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.11867,0.01655,0.02424,0.00349,0.14695,0.01394,0.0948,5,0.57674,3.9246,True
sf_scaling,Q11,2.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.57674,0.01164,0.57674,0.01164,0.0202,5,0.57674,1.0,True
sf_scaling,Q11,4.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.32319,0.00663,0.02396,0.00041,0.34787,0.00654,0.0188,5,0.65748,1.89,True
sf_scaling,Q11,4.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.65748,0.00592,0.65748,0.00592,0.009,5,0.65748,1.0,True
sf_scaling,Q11,8.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.83839,0.03607,0.02305,0.00164,0.85784,0.03546,0.0413,5,0.89753,1.0463,True
sf_scaling,Q11,8.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,0.89753,0.02588,0.89753,0.02588,0.0288,5,0.89753,1.0,True
sf_scaling,Q11,16.0,32,32,(none),"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",1.73232,0.05388,0.01712,0.00058,1.74991,0.05386,0.0308,5,1.33807,0.7647,True
sf_scaling,Q11,16.0,32,32,NGF,"opt_precompute=on,opt_encode_nation=on,opt_presort=on,opt_cumsum=on",0.0,0.0,1.33807,0.1517,1.33807,0.1517,0.1134,5,1.33807,1.0,True
sf_scaling,Q14,1.0,32,32,(none),"opt_presort=on,opt_promo_split=on",0.71401,0.05853,0.00478,0.00022,0.71879,0.0587,0.0817,5,0.7617,1.0597,True
